screen_id,element_id_or_selector,event_type,frontend_function,api_or_route,controller_action,service_method,mapper_query,related_table,auth_rule,notes
COMMON-SITEMAP,"footer a[href=""/sitemap""]",click,browser-navigation,/sitemap,SiteMapPageController.sitemap,SiteMapService.getUserSiteMap,MenuInfoMapper.selectMenuTreeList,"COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER",PUBLIC,홈 푸터 사이트맵 링크 클릭 시 사용자 사이트맵 화면으로 이동
ADMIN-CONTENT-SITEMAP,".js-admin-lnb a[href=""/admin/content/sitemap""]",click,browser-navigation,/admin/content/sitemap,AdminSiteMapController.sitemap,SiteMapService.getAdminSiteMap,"MenuInfoMapper.selectMenuTreeList + AuthGroupManageService permission checks","COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUORDER, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",ADMIN_SESSION,관리자 LNB 또는 헤더 메뉴에서 사이트맵 화면으로 이동
COMMON-TELEMETRY,window carbonet:telemetry,batch-post,useTelemetryTransport,"POST /api/telemetry/events",TelemetryController.ingestEvents,TraceEventService.recordFrontendEvents,ObservabilityMapper.insertTraceEvent,TRACE_EVENT,session trace context,프런트 page_view ui_action function_call api_request api_response 이벤트를 배치 전송
ADMIN-HELP-MANAGEMENT,"[data-help-id=""help-management-select""] button",click,handleSave,"POST /api/admin/help-management/save",AdminHelpManagementController.saveHelpPage,HelpContentService.savePageHelp,"HelpContentMapper.upsertPage / replaceItems","UI_HELP_PAGE, UI_HELP_ITEM, AUDIT_EVENT",A1900101_EDIT,도움말 메타데이터와 단계 저장 후 감사 로그 기록
ADMIN-HELP-MANAGEMENT,"[data-help-id=""help-management-command-center""] select",change,loadCommandPage,"GET /api/admin/help-management/screen-command/page",AdminHelpManagementController.getScreenCommandPage,ScreenCommandCenterService.getScreenCommandPage,Metadata-only,"COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE",A1900101_VIEW,선택한 화면 기준 요소-이벤트-API-권한 연결 메타데이터 로드
ADMIN-HELP-MANAGEMENT,"[data-help-id=""help-management-command-center""] [data-action=""generate""]",click,buildDirectionPreview,client-only,N/A,N/A,N/A,N/A,A1900101_VIEW,선택한 요소/이벤트/API/스키마/수정레이어 기준 AI 작업 지시 초안 생성
ADMIN-SR-WORKBENCH,"[data-help-id=""sr-ticket-draft""] .primary-button",click,handleCreateTicket,"POST /api/admin/sr-workbench/tickets",AdminSrWorkbenchController.createTicket,SrTicketWorkbenchService.createTicket,File-backed jsonl append,SR_TICKET_JSONL,A1900102_CREATE,선택한 화면 메타데이터 기준 SR 티켓 발행
ADMIN-SR-WORKBENCH,"[data-help-id=""sr-ticket-table""] .secondary-button",click,handleApprove,"POST /api/admin/sr-workbench/tickets/{ticketId}/approve",AdminSrWorkbenchController.approveTicket,SrTicketWorkbenchService.updateApproval,File-backed jsonl rewrite,SR_TICKET_JSONL,A1900102_APPROVE,SR 승인/반려 처리
ADMIN-SR-WORKBENCH,"[data-help-id=""sr-ticket-table""] .primary-button",click,handlePrepareExecution,"POST /api/admin/sr-workbench/tickets/{ticketId}/prepare-execution",AdminSrWorkbenchController.prepareExecution,SrTicketWorkbenchService.prepareExecution,File-backed jsonl rewrite,SR_TICKET_JSONL,A1900102_PREPARE,승인된 티켓을 Codex 실행 준비 상태로 전환
ADMIN-SR-WORKBENCH,"[data-help-id=""sr-ticket-table""] .primary-button",click,handleExecute,"POST /api/admin/sr-workbench/tickets/{ticketId}/execute",AdminSrWorkbenchController.executeTicket,SrTicketWorkbenchService.executeTicket,"Runner history append + file-backed jsonl rewrite","SR_TICKET_JSONL, SR_CODEX_RUNNER_HISTORY_JSONL",A1900102_EXECUTE,승인 후 READY_FOR_CODEX 상태 티켓을 서버 내부 Codex runner로 실행
ADMIN-CODEX-REQUEST,"button:contains(""Run Provision"")",click,executeCodexProvision,"POST /admin/system/codex-request/execute",CodexProvisionAdminController.execute,CodexExecutionAdminService.execute,"CodexProvisioningService.provision + appendHistory","COMTCCMMNDETAILCODE, COMTNMENUINFO, COMTNMENUFUNCTIONINFO, COMTNAUTHORFUNCTIONRELATE, CODEX_HISTORY_JSONL",ADMIN_SESSION + security.codex.enabled,관리자 내부 프록시로 Codex 요청을 실행하고 결과를 기록
ADMIN-CODEX-REQUEST,"button:contains(""Refresh History"")",click,fetchCodexHistory,"GET /admin/system/codex-request/history",CodexProvisionAdminController.history,CodexExecutionAdminService.getRecentHistory,History inspection read,CODEX_HISTORY_JSONL,ADMIN_SESSION + security.codex.enabled,최근 실행 이력과 점검 결과를 조회
